Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
21/02/2017,FA Cup · 5th Round Replays,Man City,5,Huddersfield,1,W,,,,
01/03/2017,Premier League,Sunderland,0,Man City,2,W,,,,
05/03/2017,Premier League,Man City,0,Stoke City,0,D,,,,
08/03/2017,FA Cup · Quarter Finals,Middlesbrough,0,Man City,2,W,,,,
11/03/2017,UEFA Champions League · Round of 16 · Leg 2 of 2,Monaco,3,Man City,1,L,,,,
15/03/2017,Premier League,Man City,1,Liverpool,1,D,,,,
19/03/2017,Premier League,Arsenal,2,Man City,2,D,,,,
02/04/2017,Premier League,Chelsea,2,Man City,1,L,,,,
05/04/2017,Premier League,Man City,3,Hull City,1,W,,,,
08/04/2017,Premier League,Southampton,0,Man City,3,W,,,,
15/04/2017,FA Cup · Semi-Finals,Arsenal,2,Man City,1,L,,,,
23/04/2017,Premier League,Man City,0,Man United,0,D,,,,
27/04/2017,Premier League,Middlesbrough,2,Man City,2,D,,,,
30/04/2017,Premier League,Man City,5,Crystal Palace,0,W,,,,
06/05/2017,Premier League,Man City,2,Leicester City,1,W,,,,
13/05/2017,Premier League,Man City,3,West Brom,1,W,,,,
16/05/2017,Premier League,Watford,0,Man City,5,W,,,,
21/05/2017,International Champions Cup,Man United,2,Man City,0,L,,,,
21/07/2017,International Champions Cup,Man City,4,Real Madrid,1,W,,,,
27/07/2017,International Champions Cup,Man City,3,Tottenham,0,W,,,,
29/07/2017,Friendly,Man City,3,West Ham,0,W,,,,
04/08/2017,Premier League,Brighton,0,Man City,2,W,,,,
12/08/2017,Friendly,Girona,1,Man City,0,L,,,,
15/08/2017,Premier League,Man City,1,Everton,1,D,,,,
21/08/2017,Premier League,Bournemouth,1,Man City,2,W,,,,
26/08/2017,Premier League,Man City,5,Liverpool,0,W,,,,
09/09/2017,UEFA Champions League · Group Stage,Feyenoord,0,Man City,4,W,,,,
13/09/2017,Premier League,Watford,0,Man City,6,W,,,,
16/09/2017,EFL Cup · Third Round,West Brom,1,Man City,2,W,,,,
20/09/2017,Premier League,Man City,5,Crystal Palace,0,W,,,,
23/09/2017,UEFA Champions League · Group Stage,Man City,2,Shakhtar Donetsk,0,W,,,,
26/09/2017,Premier League,Chelsea,0,Man City,1,W,,,,
30/09/2017,Premier League,Man City,7,Stoke City,2,W,,,,
14/10/2017,UEFA Champions League · Group Stage,Man City,2,Napoli,1,W,,,,
17/10/2017,Premier League,Man City,3,Burnley,0,W,,,,
21/10/2017,EFL Cup · Round of 16,Man City,0 (3),Wolves,0 (1),W (P),,,,
24/10/2017,Premier League,West Brom,2,Man City,3,W,,,,
28/10/2017,UEFA Champions League · Group Stage,Napoli,2,Man City,4,W,,,,
01/11/2017,Premier League,Man City,3,Arsenal,1,W,,,,
05/11/2017,Premier League,Leicester City,0,Man City,2,W,,,,
18/11/2017,UEFA Champions League · Group Stage,Man City,1,Feyenoord,0,W,,,,
21/11/2017,Premier League,Huddersfield,1,Man City,2,W,,,,
26/11/2017,Premier League,Man City,2,Southampton,1,W,,,,
